Date,Prompt
25-12-2025,Christmas
26-12-2025,Boxing Day (Description - Ring boxing and MMA - dont add description in the image)
27-12-2025,International Day of Epidemic Preparedness
28-12-2025,Holy Innocents’ Day
29-12-2025,International Cello Day
30-12-2025,Bacon Day
31-12-2025,New Year’s Eve
01-01-2026,Happy New Year
03-01-2026,Hazrat Ali’s Birthday
13-01-2026,Lohri
14-01-2026,Makar Sankranti
18-01-2026,Mauni Amavasya
23-01-2026,Vasant Panchami
26-01-2026,Republic Day
01-02-2026,Guru Ravidas Jayanti
15-02-2026,Maha Shivaratri
03-03-2026,Holika Dahan
04-03-2026,Holi
19-03-2026,Gudi Padwa
21-03-2026,Eid-ul-Fitr
26-03-2026,Ram Navami
31-03-2026,Mahavir Jayanti
03-04-2026,Good Friday
06-04-2026,Easter Monday
14-04-2026,Ambedkar Jayanti
19-04-2026,Akshaya Tritiya
01-05-2026,Buddha Purnima
01-05-2026,Labour Day
27-05-2026,Eid-al-Adha
26-06-2026,Muharram
16-07-2026,Rath Yatra
15-08-2026,Independence Day
25-08-2026,Onam
26-08-2026,Eid Milad-un-Nabi
28-08-2026,Raksha Bandhan
